SIREN,SIRET,Activité principale de l'établissement,Code postal de l'établissement,Commune de l'établissement,Libellé de la commune de l'établissement à l'étranger,Code commune de l'établissement,Code postal de l'établissement 2,Libellé de la commune de l'établissement 2,Libellé de la commune de l'établissement étranger 2,Code de la commune de l'établissement 2,Dénomination usuelle de l'établissement,Activité principale de l'établissement.1,Dénomination de l'unité légale,Dénomination usuelle de l'unité légale 1,Dénomination usuelle de l'unité légale 2,Dénomination usuelle de l'unité légale 3,Activité principale de l'unité légale,Nomenclature de l'activité principale de l'unité légale,SIRET du siège de l'unité légale,Géolocalisation de l'établissement
989186788,98918678800018,,75008,PARIS,,75108,,,,,,45.20A,,,,,45.20A,NAFRev2,98918678800018.0,"48.869893, 2.30194"
919928366,91992836600013,,20110,VIGGIANELLO,,2A349,,,,,,68.20B,VANESSA,,,,68.20B,NAFRev2,91992836600013.0,"41.6712, 8.923683"
981599061,98159906100018,,93700,DRANCY,,93029,,,,,,49.32Z,,,,,49.32Z,NAFRev2,98159906100018.0,"48.923926, 2.448298"
404360208,40436020800015,,53320,BEAULIEU-SUR-OUDON,,53026,,,,,,01.11Z,,,,,01.11Z,NAFRev2,40436020800015.0,"47.971826, -0.993188"
948138011,94813801100010,,38980,VIRIVILLE,,38561,,,,,,70.22Z,SOPHIE GAUDIN CONSULTING,,,,70.22Z,NAFRev2,94813801100010.0,"45.311254, 5.192635"
913601571,91360157100015,,97212,SAINT-JOSEPH,,97224,,,,,,93.29Z,EXOTIKDIVE,,,,93.29Z,NAFRev2,91360157100015.0,"14.649208, -61.033367"
940203953,94020395300010,,75015,PARIS,,75115,,,,,,33.20A,WELDING SERVICES,,,,33.20A,NAFRev2,94020395300010.0,"48.838062, 2.289188"
333819852,33381985200018,,97190,LE GOSIER,,97113,,,,,,43.99C,,,,,43.99C,NAFRev2,33381985200018.0,"16.231944, -61.457133"
309122992,30912299200014,,75020,PARIS,,75120,,,,,,47.11B,IDELLA AHMED ET AKDIN MILOUD,,,,47.11B,NAFRev2,30912299200014.0,"48.847613, 2.412531"
832465256,83246525600010,,71510,SAINT-LEGER-SUR-DHEUNE,,71442,,,,,,66.19A,SOCIETE CIVILE DE MOYENS DES DOCTEURS BREUILLOT ET JOSUAT,,,,66.19A,NAFRev2,83246525600010.0,"46.847774, 4.638507"
790140438,79014043800017,4321AB,91350,GRIGNY,,91286,,,,,,43.12A,FLTP SAS,,,,43.12A,NAFRev2,79014043800017.0,"48.647567, 2.376346"
919453431,91945343100018,,34120,TOURBES,,34311,,,,,,62.01Z,WHOSBOX,,,,62.01Z,NAFRev2,91945343100018.0,"43.444237, 3.387262"
498386275,49838627500040,,39570,CHILLE,,39145,,,,,,68.20A,,,,,68.20A,NAFRev2,49838627500040.0,"46.694279, 5.576227"
319624441,31962444100022,,51240,SONGY,,51552,,,,,,01.11Z,PHELIZON,,,,01.11Z,NAFRev2,31962444100022.0,"48.8034, 4.502444"
935065375,93506537500021,,[ND],MARSEILLE,,13205,[ND],,,,[ND],68.20A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,93506537500021.0,"43.292388629, 5.398198756"
934047408,93404740800018,,[ND],MARSEILLE,,13208,[ND],,,,[ND],82.11Z,[ND],[ND],[ND],[ND],82.11Z,NAFRev2,93404740800018.0,"43.237719202, 5.374853726"
844751222,84475122200010,,38330,SAINT-ISMIER,,38397,,,,,,46.69B,KARAK,,,,46.69B,NAFRev2,84475122200010.0,"45.243694, 5.829812"
943479923,94347992300014,,29200,BREST,,29019,,,,,,53.20Z,,,,,53.20Z,NAFRev2,94347992300014.0,"48.393561, -4.468528"
830341244,83034124400028,,13320,BOUC-BEL-AIR,,13015,,,,,,86.90F,,,,,86.90F,NAFRev2,83034124400028.0,"43.442225, 5.421083"
984251983,98425198300016,,64410,SEBY,,64514,,,,,,62.01Z,SOFTCAZE,,,,62.01Z,NAFRev2,98425198300016.0,"43.469679, -0.401642"
977536267,97753626700015,,[ND],VERNY,,57708,[ND],,,,[ND],96.09Z,[ND],[ND],[ND],[ND],96.09Z,NAFRev2,97753626700015.0,"49.007297271, 6.203038292"
921540886,92154088600014,9511ZZ,47510,FOULAYRONNES,,47100,,,,,MCIF,46.51Z,MCIF,,,,46.51Z,NAFRev2,92154088600014.0,"44.224833, 0.632645"
789160504,78916050400021,8121ZZ,38920,CROLLES,,38140,,,,,PRO NET 38,81.21Z,,,,,81.21Z,NAFRev2,78916050400021.0,"45.273826, 5.874008"
917518763,91751876300029,,37000,TOURS,,37261,,,,,MARION RICHE,70.21Z,,,,,70.21Z,NAFRev2,91751876300029.0,"47.38655, 0.6741"
835369604,83536960400029,3320AZ,75016,PARIS,,75116,,,,,,33.20A,SASU ADAO TUYAUTERIE SOUDURE,,,,33.20A,NAFRev2,83536960400029.0,"48.843472, 2.259996"
933756355,93375635500014,,68630,MITTELWIHR,,68209,,,,,,56.10A,SAS LA COLLINE,,,,56.10A,NAFRev2,93375635500014.0,"48.152728, 7.321519"
851240135,85124013500034,,83520,ROQUEBRUNE-SUR-ARGENS,,83107,,,,,,49.41B,HORIZON TRANSPORTS,,,,49.41B,NAFRev2,85124013500034.0,"43.488855, 6.65338"
954084844,95408484400016,,65320,BORDERES-SUR-L'ECHEZ,,65100,,,,,,68.20B,LAPACHOUA,,,,68.20B,NAFRev2,95408484400016.0,"43.263777, 0.04548"
794591362,79459136200015,,95100,ARGENTEUIL,,95018,,,,,,47.99A,,,,,47.99A,NAFRev2,79459136200015.0,"48.94706, 2.241572"
434891800,43489180000014,,33114,LE BARP,,33029,,,,,,68.20B,JADE,,,,68.20B,NAFRev2,43489180000014.0,"44.607399, -0.769223"
419135652,41913565200016,,65200,ASTE,,65042,,,,,,01.42Z,,,,,01.42Z,NAFRev2,41913565200016.0,"43.040397, 0.160433"
884588211,88458821100018,,33200,BORDEAUX,,33063,,,,,,64.20Z,HOLDING MARLO,,,,64.20Z,NAFRev2,88458821100018.0,"44.856175, -0.60621"
492879788,49287978800015,,97232,LE LAMENTIN,,97213,,,,,,68.20B,SCI ACAJOU 2000,,,,68.20B,NAFRev2,49287978800015.0,"14.617111, -60.999862"
899949994,89994999400011,,[ND],PARIS,,75117,[ND],,,,[ND],74.20Z,[ND],[ND],[ND],[ND],74.20Z,NAFRev2,89994999400011.0,"48.887331019, 2.306778316"
484352364,48435236400083,,75003,PARIS,,75103,,,,,,78.10Z,ITTAKA,,,,78.10Z,NAFRev2,48435236400083.0,"48.8651, 2.355889"
940060338,94006033800016,,75004,PARIS,,75104,,,,,PRIVE PARIS !,96.09Z,,,,,96.09Z,NAFRev2,94006033800016.0,"48.857629, 2.354625"
384984431,38498443100021,,24490,LA ROCHE-CHALAIS,,24354,,,,,MOTTARD JEAN-LOUIS,02.10Z,,,,,02.10Z,NAFRev2,38498443100021.0,"45.15214, 0.078581"
919539510,91953951000017,,37240,BOSSEE,,37029,,,,,,68.20B,ELOJLJ,,,,68.20B,NAFRev2,91953951000017.0,"47.128365, 0.71067"
847688371,84768837100024,,[ND],PORT-LOUIS,,97122,[ND],,,,[ND],82.11Z,[ND],[ND],[ND],[ND],82.11Z,NAFRev2,84768837100024.0,"16.426229442, -61.496059679"
832001135,83200113500025,,06300,NICE,,06088,,,,,,70.22Z,,,,,70.22Z,NAFRev2,83200113500025.0,"43.710994, 7.292168"
811673581,81167358100013,,38090,VILLEFONTAINE,,38553,,,,,,68.20A,,,,,68.20A,NAFRev2,81167358100013.0,"45.609632, 5.145685"
482901261,48290126100016,,75009,PARIS,,75109,,,,,,96.02A,MH PARIS 9,,,,96.02A,NAFRev2,48290126100016.0,"48.878678, 2.327213"
749881520,74988152000011,,36320,VILLEDIEU-SUR-INDRE,,36241,,,,,,68.20B,SCI MATH-TISS,,,,68.20B,NAFRev2,74988152000011.0,"46.847159, 1.539368"
514754944,51475494400015,,13009,MARSEILLE,,13209,,,,,,94.99Z,ASSOCIATION COMMUNAUTAIREKEHILA HAYE OLAM,,,,94.99Z,NAFRev2,51475494400015.0,"43.267525, 5.411291"
392475166,39247516600113,8211ZP,44300,NANTES,,44109,,,,,MULTI PRO SERVICES,82.11Z,,AU PAYS DE WAPPY,,,82.11Z,NAFRev2,39247516600113.0,"47.237349, -1.527562"
841539653,84153965300011,,72220,ECOMMOY,,72124,,,,,,68.20B,VET'UNION,,,,68.20B,NAFRev2,84153965300011.0,"47.831569, 0.27139"
803286848,80328684800012,,69200,VENISSIEUX,,69259,,,,,,62.01Z,,,,,62.01Z,NAFRev2,80328684800012.0,"45.718563, 4.908853"
529343436,52934343600018,,10340,LES RICEYS,,10317,,,,,,01.21Z,,,,,01.21Z,NAFRev2,52934343600018.0,"48.005757, 4.36774"
877544999,87754499900015,,[ND],BOBIGNY,,93008,[ND],,,,[ND],53.20Z,[ND],[ND],[ND],[ND],53.20Z,NAFRev2,87754499900015.0,"48.907435801, 2.439842933"
